Model Year,Division,Carline,Eng Displ CC,Displacement in CC,# Cyl,Transmission,City FE Combined,Highway FE Combined,City and Highway Mileage,Aspiration,Trans,Trans Desc,# Gears,Lockup Torque Converter,Drive Sys,Drive Desc,Range1 - Model Type Driving Range - Conventional Fuel,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel Cost,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,Descriptor - Model Type (40 Char or less),Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date,EPA FE Label Dataset ID,,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System) Code,Stop/Start System (Engine Management System)  Description,Model Type Desc (MFR entered),5 Year Fuel Costs Excess,City CO2,Hwy CO2,Comb CO2 Rounded 
2018,KIA MOTORS CORPORATION,Forte,2,2000,4,Manual(M6),25,34,28,Naturally Aspirated,M,Manual,6,N,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),1300,1300,,2,2,5,Midsize Cars,car,Derived 5-cycle label,7/6/2017,22089,,N,N,,,N,N,,N,,Y,Fixed3(More than two or continuous),N,,MFI,Multipoint/sequential fuel injection,,,N,5W20 API or GF-4,N,No,,,358,260,314
2018,KIA MOTORS CORPORATION,Forte,2,2000,4,Auto(S6),25,33,28,Naturally Aspirated,SA,Semi-Automatic,6,Y,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),1300,1300,SIDI; ,2,2,5,Midsize Cars,car,Derived 5-cycle label,7/6/2017,22087,,N,N,,,N,N,,N,,Y,Fixed3(More than two or continuous),N,,GDI,Spark Ignition Direct Injection,,,N,5W-20 or GF-4,N,No,,,359,268,318
2018,KIA MOTORS CORPORATION,Forte5,2,2000,4,Auto(S6),25,34,28,Naturally Aspirated,SA,Semi-Automatic,6,Y,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),1300,1300,SIDI; ,2,2,6,Large Cars,car,Derived 5-cycle label,7/6/2017,22086,,Y,N,,,N,N,,N,,Y,Fixed3(More than two or continuous),N,,GDI,Spark Ignition Direct Injection,,,N,5W-20 or GF-4,N,No,,,359,266,317
2018,KIA MOTORS CORPORATION,Forte5,1.6,1600,4,Auto(AM7),25,30,27,Turbocharged,AM,Automated Manual,7,N,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),1350,1350,SIDI; ,2,2,6,Large Cars,car,Derived 5-cycle label,7/18/2017,22227,,Y,N,,,N,N,,N,,Y,FIXED3(MORE THAN TWO OR CONTINUOUS),N,,GDI,Spark Ignition Direct Injection,,,N,SAE 5W-30 or GF-4,N,No,,,359,300,332
2018,KIA MOTORS CORPORATION,Forte5,1.6,1600,4,Manual(M6),23,29,25,Turbocharged,M,Manual,6,N,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),1450,1450,SIDI; ,2,2,6,Large Cars,car,Derived 5-cycle label,7/18/2017,22228,,Y,N,,,N,N,,N,,Y,FIXED3(MORE THAN TWO OR CONTINUOUS),N,,GDI,Spark Ignition Direct Injection,,,N,SAE 5W-30 or GF-4,N,No,,500,390,308,353
2018,KIA MOTORS CORPORATION,Stinger AWD,3.3,3300,6,Auto(S8),17,25,20,Turbocharged,SA,Semi-Automatic,8,Y,A,All Wheel Drive,,GP,Gasoline (Premium Unleaded Recommended),2100,2100,"SIDI; Under EPA regulations, the manufacturer revised the fuel economy label values on . Previous values were XX MPG city, XX MPG highway, and XX MPG combined; ",2,2,5,Midsize Cars,car,Vehicle Specific 5-cycle label,12/24/2018,25283,,N,Y,RL,Relabel - label value decreased,N,N,,N,,Y,APPLY VVT,N,,GDI,Spark Ignition Direct Injection,,,N,5W30 ACEA A5,Y,Yes,,3750,515,359,445
2018,KIA MOTORS CORPORATION,Stinger RWD,3.3,3300,6,Auto(S8),17,25,20,Turbocharged,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",,GP,Gasoline (Premium Unleaded Recommended),2100,2100,"SIDI; Under EPA regulations, the manufacturer revised the fuel economy label values on . Previous values were XX MPG city, XX MPG highway, and XX MPG combined; ",2,2,5,Midsize Cars,car,Vehicle Specific 5-cycle label,12/24/2018,25284,,N,Y,RL,Relabel - label value decreased,N,N,,N,,Y,APPLY VVT,N,,GDI,Spark Ignition Direct Injection,,,N,5W30 ACEA A5,Y,Yes,,3750,512,366,446
2018,KIA MOTORS CORPORATION,Stinger AWD,2,2000,4,Auto(S8),21,29,24,Turbocharged,SA,Semi-Automatic,8,Y,A,All Wheel Drive,,GP,Gasoline (Premium Unleaded Recommended),1750,1750,SIDI; ,2,2,5,Midsize Cars,car,Derived 5-cycle label,11/8/2017,23071,,N,N,,,N,N,,N,,Y,APPLY VVT,N,,GDI,Spark Ignition Direct Injection,,,N,0W30 ACEA C2,Y,Yes,,2000,418,307,368
2018,KIA MOTORS CORPORATION,Stinger RWD,2,2000,4,Auto(S8),22,29,25,Turbocharged,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",,GP,Gasoline (Premium Unleaded Recommended),1700,1700,SIDI; ,2,2,5,Midsize Cars,car,Derived 5-cycle label,11/8/2017,23072,,N,N,,,N,N,,N,,Y,APPLY VVT,N,,GDI,Spark Ignition Direct Injection,,,N,0W30 ACEA C2,Y,Yes,,1750,412,307,365
2018,KIA MOTORS CORPORATION,Niro,1.6,1600,4,Auto(AM6),51,46,49,Naturally Aspirated,AM,Automated Manual,6,N,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),750,750,SIDI; ,2,2,7,Small Station Wagons,car,Vehicle Specific 5-cycle label,10/13/2017,22954,,N,N,,,N,N,,N,,Y,APPLY VVT,N,,GDI,Spark Ignition Direct Injection,N,N,N,SAE 0W-20 API SN,Y,Yes,,,175,193,183
